address,ceref,entityName,entityOtherName,entityType,hasActiveLicence,hasActiveLicenceAmlo,isActiveEo,isCorp,isDeemedLicence,isDeemedLicenceAmlo,isEo,isIndi,isRi,name,nameChi,raDetails,raDetailsAmlo
"{'fullAddress': 'Unit F01, 12/F, MG Tower, 133 Hoi Bun Road, Kwun Tong, Kowloon, Hong Kong', 'fullAddressChin': 'Unit F01, 12/F, MG Tower, 133 Hoi Bun Road, Kwun Tong, Kowloon, Hong Kong', 'addrPrin': 'Y', 'centralEntity': None}",BTX651,L Capital Limited,,,Y,N,,True,N,N,False,False,False,L Capital Limited,,"[{'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}, {'actType': 9, 'actDesc': 'Asset Management', 'cactDesc': '提供資產管理', 'parentType': None}]",[]
"{'fullAddress': 'FLAT/RM 04, 7/F, OFFICEPLUS@SHEUNG WAN, 93-103  WING LOK STREET, Sheung Wan, Hong Kong', 'fullAddressChin': 'FLAT/RM 04, 7/F, OFFICEPLUS@SHEUNG WAN, 93-103  WING LOK STREET, Sheung Wan, Hong Kong', 'addrPrin': 'Y', 'centralEntity': None}",BVK364,L&S Investment Management Limited,,,Y,N,,True,N,N,False,False,False,L&S Investment Management Limited,,"[{'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}, {'actType': 9, 'actDesc': 'Asset Management', 'cactDesc': '提供資產管理', 'parentType': None}]",[]
"{'fullAddress': 'Room A, 1/Floor, HENNING HOUSE, 385-391 HENNESSY ROAD, WAN CHAI, Hong Kong', 'fullAddressChin': '香港灣仔軒尼詩道385-391號軒寧大廈1樓A室', 'addrPrin': 'Y', 'centralEntity': None}",AAD002,M&F Asset Management Limited,,,Y,N,,True,N,N,False,False,False,M&F Asset Management Limited,渼豐資產管理有限公司,"[{'actType': 1, 'actDesc': 'Dealing in Securities', 'cactDesc': '證券交易', 'parentType': None}, {'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}, {'actType': 9, 'actDesc': 'Asset Management', 'cactDesc': '提供資產管理', 'parentType': None}]",[]
"{'fullAddress': ""Unit 1002, LHT Tower, 31 Queen's Road Central, Central, Hong Kong"", 'fullAddressChin': '香港中環皇后大道中31號陸海通大廈1002室', 'addrPrin': 'Y', 'centralEntity': None}",BBZ004,M&G Investments (Hong Kong) Limited,,,Y,N,,True,N,N,False,False,False,M&G Investments (Hong Kong) Limited,,"[{'actType': 1, 'actDesc': 'Dealing in Securities', 'cactDesc': '證券交易', 'parentType': None}, {'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}]",[]
"{'fullAddress': 'Units 3533 and 3537, Level 35, Infinitus Plaza, 199 Des Voeux Road Central, Sheung Wan, Hong Kong', 'fullAddressChin': 'Units 3533 and 3537, Level 35, Infinitus Plaza, 199 Des Voeux Road Central, Sheung Wan, Hong Kong', 'addrPrin': 'Y', 'centralEntity': None}",BOT999,M Science Hong Kong Limited,,,Y,N,,True,N,N,False,False,False,M Science Hong Kong Limited,,"[{'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}]",[]
"{'fullAddress': 'Room E 32/F Lee and Man Commercial Centre, 169 Electric Road, Causeway Bay, Hong Kong', 'fullAddressChin': '香港銅鑼灣電氣道169號理文商業中心32樓E室', 'addrPrin': 'Y', 'centralEntity': None}",BRW621,M Capital Investment Limited,,,Y,N,,True,N,N,False,False,False,M Capital Investment Limited,,"[{'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}, {'actType': 9, 'actDesc': 'Asset Management', 'cactDesc': '提供資產管理', 'parentType': None}]",[]
"{'fullAddress': 'Room 1704C, 1 Lyndhurst Tower, 1 Lyndhurst Terrace, Central, Hong Kong, Hong Kong', 'fullAddressChin': '香港中環一號廣場, 擺花街1號1704C室', 'addrPrin': 'Y', 'centralEntity': None}",BLY077,N Plus Capital Limited,,,Y,N,,True,N,N,False,False,False,N Plus Capital Limited,,"[{'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}, {'actType': 9, 'actDesc': 'Asset Management', 'cactDesc': '提供資產管理', 'parentType': None}]",[]
"{'fullAddress': '4/F, Room 2041, Lee Garden Three, 1 Sunning Road, Causeway Bay, Hong Kong', 'fullAddressChin': '香港新寧道1號, 銅鑼湾利園3期4樓, 2041室', 'addrPrin': 'Y', 'centralEntity': None}",APA399,R.J. O'Brien & Associates HK Limited,,,Y,N,,True,N,N,False,False,False,R.J. O'Brien & Associates HK Limited,,"[{'actType': 2, 'actDesc': 'Dealing in Futures Contracts', 'cactDesc': '期貨合約交易', 'parentType': None}]",[]
"{'fullAddress': '3-4/F, Three Exchange Square, 8 Connaught Place, Central, Hong Kong', 'fullAddressChin': '香港中環康樂廣場8號交易廣場3期3-4樓', 'addrPrin': 'Y', 'centralEntity': None}",AXG916,S&P Global Ratings Hong Kong Limited,,,Y,N,,True,N,N,False,False,False,S&P Global Ratings Hong Kong Limited,,"[{'actType': 10, 'actDesc': 'Providing Credit Rating Services', 'cactDesc': '提供信貸評級服務', 'parentType': None}]",[]
"{'fullAddress': 'Unit 2812,, One Chinachem Central, 22 Des Voeux Road Central, Central, Hong Kong', 'fullAddressChin': '香港香港中環德輔道中22號華懋中心一期28樓2812室', 'addrPrin': 'Y', 'centralEntity': None}",BPX011,E&P Asia (HK) Limited,,,Y,N,,True,N,N,False,False,False,E&P Asia (HK) Limited,,"[{'actType': 1, 'actDesc': 'Dealing in Securities', 'cactDesc': '證券交易', 'parentType': None}, {'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}]",[]
"{'fullAddress': 'Unit 1602, 16/F, Infinitus Plaza, 199 Des Voeux Road Central, Hong Kong', 'fullAddressChin': '香港中環德輔道中199號無限極廣場16樓1602室', 'addrPrin': 'Y', 'centralEntity': None}",BFX039,Q Fund Management (Hong Kong) Limited,,,Y,N,,True,N,N,False,False,False,Q Fund Management (Hong Kong) Limited,前方基金管理有限公司,"[{'actType': 9, 'actDesc': 'Asset Management', 'cactDesc': '提供資產管理', 'parentType': None}]",[]
"{'fullAddress': 'Level 26, One Chinachem Central, 22 Des Voeux Road Central, Central, Hong Kong', 'fullAddressChin': 'Level 26, One Chinachem Central, 22 Des Voeux Road Central, Central, Hong Kong', 'addrPrin': 'Y', 'centralEntity': None}",BIX975,L&R Capital Limited,,,Y,N,,True,N,N,False,False,False,L&R Capital Limited,析理資本有限公司,"[{'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}, {'actType': 9, 'actDesc': 'Asset Management', 'cactDesc': '提供資產管理', 'parentType': None}]",[]
"{'fullAddress': 'Room 1810, 18/F, V-Point, 18 Tang Lung Street, Causeway Bay, Hong Kong', 'fullAddressChin': 'Room 1810, 18/F, V-Point, 18 Tang Lung Street, Causeway Bay, Hong Kong', 'addrPrin': 'Y', 'centralEntity': None}",BPQ155,R Squared Limited,,,Y,N,,True,N,N,False,False,False,R Squared Limited,阿方投資管理有限公司,"[{'actType': 9, 'actDesc': 'Asset Management', 'cactDesc': '提供資產管理', 'parentType': None}]",[]
"{'fullAddress': ""1/F Henley Building, 5 Queen's Road Central, Hong Kong"", 'fullAddressChin': '香港中環皇后大道中5號衡怡大廈1樓', 'addrPrin': 'Y', 'centralEntity': None}",AAV439,St. James's Place (Hong Kong) Limited,,,Y,N,,True,N,N,False,False,False,St. James's Place (Hong Kong) Limited,,"[{'actType': 1, 'actDesc': 'Dealing in Securities', 'cactDesc': '證券交易', 'parentType': None}, {'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}, {'actType': 9, 'actDesc': 'Asset Management', 'cactDesc': '提供資產管理', 'parentType': None}]",[]
"{'fullAddress': '1803 Yue Shing Commercial Building, 15 Queen Victoria Street, Central, Hong Kong', 'fullAddressChin': '香港中環域多利皇后街15號裕成商業大廈1803室', 'addrPrin': 'Y', 'centralEntity': None}",AAW287,S W Woo And Company Limited,,,Y,N,,True,N,N,False,False,False,S W Woo And Company Limited,榮興證券有限公司,"[{'actType': 1, 'actDesc': 'Dealing in Securities', 'cactDesc': '證券交易', 'parentType': None}]",[]
"{'fullAddress': ""RM 910-911, 9/F, COSCO TOWER, 183 QUEEN'S ROAD CENTRAL, Hong Kong"", 'fullAddressChin': '香港皇后大道中183 號中遠大廈9 樓910-911 室', 'addrPrin': 'Y', 'centralEntity': None}",ABH659,Tse's Securities Limited,,,Y,N,,True,N,N,False,False,False,Tse's Securities Limited,謝氏膺暉證券有限公司,"[{'actType': 1, 'actDesc': 'Dealing in Securities', 'cactDesc': '證券交易', 'parentType': None}, {'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}, {'actType': 9, 'actDesc': 'Asset Management', 'cactDesc': '提供資產管理', 'parentType': None}]",[]
"{'fullAddress': 'Unit B, 19/F, Two Chinachem Plaza, 135 Des Voeux Road, Central, Hong Kong', 'fullAddressChin': '香港中環德輔道中135號華懋廣場II期19樓B室', 'addrPrin': 'Y', 'centralEntity': None}",AKX838,Lee's Securities Company Limited,,,Y,N,,True,N,N,False,False,False,Lee's Securities Company Limited,李氏證券有限公司,"[{'actType': 1, 'actDesc': 'Dealing in Securities', 'cactDesc': '證券交易', 'parentType': None}]",[]
"{'fullAddress': '24/F One Pacific Place, 88 Queensway, Admiralty, Hong Kong', 'fullAddressChin': '香港金鐘道88號太古廣場一座24樓', 'addrPrin': 'Y', 'centralEntity': None}",AXG247,Moody's Investors Service Hong Kong Limited,,,Y,N,,True,N,N,False,False,False,Moody's Investors Service Hong Kong Limited,,"[{'actType': 10, 'actDesc': 'Providing Credit Rating Services', 'cactDesc': '提供信貸評級服務', 'parentType': None}]",[]
"{'fullAddress': '3-4/F, Three Exchange Square, 8 Connaught Place, Central, Hong Kong', 'fullAddressChin': '香港中環康樂廣場8號交易廣場3期3-4樓', 'addrPrin': 'Y', 'centralEntity': None}",AXG916,S&P Global Ratings Hong Kong Limited,,,Y,N,,True,N,N,False,False,False,S&P Global Ratings Hong Kong Limited,,"[{'actType': 10, 'actDesc': 'Providing Credit Rating Services', 'cactDesc': '提供信貸評級服務', 'parentType': None}]",[]
"{'fullAddress': '1908, 19/F, K11 Atelier, 18 Salisbury Road, Tsim Sha Tsui, Kowloon, Hong Kong', 'fullAddressChin': '香港九龍梳士巴利道18號K11 Atelier 19樓1908室', 'addrPrin': 'Y', 'centralEntity': None}",BHK525,Look's Securities Limited,,,Y,N,,True,N,N,False,False,False,Look's Securities Limited,,"[{'actType': 1, 'actDesc': 'Dealing in Securities', 'cactDesc': '證券交易', 'parentType': None}]",[]
"{'fullAddress': 'Suite 807, 8/F, OfficePlus, 93-103 Wing Lok Street,, Sheung Wan, Hong Kong., Hong Kong', 'fullAddressChin': '香港永樂街93-103號, 上環協成行上環中心807室, 8樓', 'addrPrin': 'Y', 'centralEntity': None}",BTU313,S Harmony Asset Management Limited,,,Y,N,,True,N,N,False,False,False,S Harmony Asset Management Limited,順和資產管理有限公司,"[{'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}, {'actType': 9, 'actDesc': 'Asset Management', 'cactDesc': '提供資產管理', 'parentType': None}]",[]
"{'fullAddress': 'FLAT/RM 04, 7/F, OFFICEPLUS@SHEUNG WAN, 93-103  WING LOK STREET, Sheung Wan, Hong Kong', 'fullAddressChin': 'FLAT/RM 04, 7/F, OFFICEPLUS@SHEUNG WAN, 93-103  WING LOK STREET, Sheung Wan, Hong Kong', 'addrPrin': 'Y', 'centralEntity': None}",BVK364,L&S Investment Management Limited,,,Y,N,,True,N,N,False,False,False,L&S Investment Management Limited,,"[{'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}, {'actType': 9, 'actDesc': 'Asset Management', 'cactDesc': '提供資產管理', 'parentType': None}]",[]
"{'fullAddress': 'Suite 1409, 14/F, North Tower, World Finance Centre, 19 Canton Road, TST, Kowloon, Hong Kong', 'fullAddressChin': '香港九龍尖沙咀廣東道19號環球金融中心北座14樓1409室', 'addrPrin': 'Y', 'centralEntity': None}",AHU779,T G Securities Limited,,,Y,N,,True,N,N,False,False,False,T G Securities Limited,滙澤證券有限公司,"[{'actType': 1, 'actDesc': 'Dealing in Securities', 'cactDesc': '證券交易', 'parentType': None}, {'actType': 2, 'actDesc': 'Dealing in Futures Contracts', 'cactDesc': '期貨合約交易', 'parentType': None}]",[]
"{'fullAddress': '6/F, Chater House, 8 Connaught Road Central, Hong Kong', 'fullAddressChin': '6/F, Chater House, 8 Connaught Road Central, Hong Kong', 'addrPrin': 'Y', 'centralEntity': None}",AVY670,T. Rowe Price Hong Kong Limited,,,Y,N,,True,N,N,False,False,False,T. Rowe Price Hong Kong Limited,普徠仕香港有限公司,"[{'actType': 1, 'actDesc': 'Dealing in Securities', 'cactDesc': '證券交易', 'parentType': None}, {'actType': 2, 'actDesc': 'Dealing in Futures Contracts', 'cactDesc': '期貨合約交易', 'parentType': None}, {'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}, {'actType': 9, 'actDesc': 'Asset Management', 'cactDesc': '提供資產管理', 'parentType': None}]",[]
"{'fullAddress': 'Signature at ICC 86/F, International Commerce Centre, 1 Austin Road West, Kowloon, Hong Kong, Hong Kong', 'fullAddressChin': 'Signature at ICC 86/F, International Commerce Centre, 1 Austin Road West, Kowloon, Hong Kong, Hong Kong', 'addrPrin': 'Y', 'centralEntity': None}",BVB715,T-ACCELERATE CAPITAL MANAGEMENT LIMITED,,,Y,N,,True,N,N,False,False,False,T-ACCELERATE CAPITAL MANAGEMENT LIMITED,,"[{'actType': 9, 'actDesc': 'Asset Management', 'cactDesc': '提供資產管理', 'parentType': None}]",[]
"{'fullAddress': 'Suites 904-905, 9/F, Great Eagle Centre, 23 Harbour Road, Wan Chai, Hong Kong', 'fullAddressChin': 'Suites 904-905, 9/F, Great Eagle Centre, 23 Harbour Road, Wan Chai, Hong Kong', 'addrPrin': 'Y', 'centralEntity': None}",BSF944,U&I Asset Management Limited,,,Y,N,,True,N,N,False,False,False,U&I Asset Management Limited,匯智合創資產管理有限公司,"[{'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}, {'actType': 9, 'actDesc': 'Asset Management', 'cactDesc': '提供資產管理', 'parentType': None}]",[]
"{'fullAddress': '1803 Yue Shing Commercial Building, 15 Queen Victoria Street, Central, Hong Kong', 'fullAddressChin': '香港中環域多利皇后街15號裕成商業大廈1803室', 'addrPrin': 'Y', 'centralEntity': None}",AAW287,S W Woo And Company Limited,,,Y,N,,True,N,N,False,False,False,S W Woo And Company Limited,榮興證券有限公司,"[{'actType': 1, 'actDesc': 'Dealing in Securities', 'cactDesc': '證券交易', 'parentType': None}]",[]
"{'fullAddress': 'Room 05, Unit C1, 6/F Kaiser Estate Phase 1, 41 Man Yue Street, Hung Hom, Hong Kong', 'fullAddressChin': 'Room 05, Unit C1, 6/F Kaiser Estate Phase 1, 41 Man Yue Street, Hung Hom, Hong Kong', 'addrPrin': 'Y', 'centralEntity': None}",BII154,China X Securities Limited,,,Y,N,,True,N,N,False,False,False,China X Securities Limited,華新證券有限公司,"[{'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}, {'actType': 9, 'actDesc': 'Asset Management', 'cactDesc': '提供資產管理', 'parentType': None}]",[]
"{'fullAddress': 'Suites 701-702 & 714-716, 7th Floor, One International Finance Centre, No. 1 Harbour View Street, Central, Hong Kong, Hong Kong', 'fullAddressChin': 'Suites 701-702 & 714-716, 7th Floor, One International Finance Centre, No. 1 Harbour View Street, Central, Hong Kong, Hong Kong', 'addrPrin': 'Y', 'centralEntity': None}",BND474,Y-Intercept (Hong Kong) Limited,,,Y,N,,True,N,N,False,False,False,Y-Intercept (Hong Kong) Limited,,"[{'actType': 9, 'actDesc': 'Asset Management', 'cactDesc': '提供資產管理', 'parentType': None}]",[]
